conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
below_vwap & back_inside_or & small_or & tight_spread & high_rel_vol,31,0.02838709677419355,0.7741935483870968,0.3870967741935484,0.12903225806451613,0.1935483870967742,0.1935483870967742,-6.758064516129032,0.7096774193548387,-10.225806451612904,13.25,39.43243677345433
below_vwap & large_or & large_lower_wick & high_rel_vol,41,0.024329268292682928,8.804878048780488,0.4878048780487805,0.4634146341463415,0.4634146341463415,0.3902439024390244,1.1280487804878048,0.12804878048780488,22.304878048780488,6.5,192.0315250970464
strong_body & displacement,121,0.016115702479338842,19.33884297520661,0.5206611570247934,0.4297520661157025,0.371900826446281,0.33884297520661155,9.90495867768595,0.030991735537190084,-4.758264462809917,7.0,142.90512794860885
strong_body & expansion_bar & displacement,121,0.016115702479338842,19.33884297520661,0.5206611570247934,0.4297520661157025,0.371900826446281,0.33884297520661155,9.90495867768595,0.030991735537190084,-4.758264462809917,7.0,142.90512794860885
back_inside_or & displacement & tight_spread & high_volatility,80,0.004750000000000001,17.1,0.525,0.475,0.45,0.3625,2.978125,0.0125,-17.70625,11.5,157.66880094406514
back_inside_or & expansion_bar & displacement & tight_spread & high_volatility,80,0.004750000000000001,17.1,0.525,0.475,0.45,0.3625,2.978125,0.0125,-17.70625,11.5,157.66880094406514
above_vwap & strong_body & high_rel_vol & high_volatility,37,0.0026351351351351355,5.27027027027027,0.35135135135135137,0.35135135135135137,0.40540540540540543,0.2702702702702703,-14.932432432432432,0.02027027027027027,-33.358108108108105,14.75,106.55823555133509
above_vwap & back_inside_or & strong_body & high_rel_vol & high_volatility,37,0.0026351351351351355,5.27027027027027,0.35135135135135137,0.35135135135135137,0.40540540540540543,0.2702702702702703,-14.932432432432432,0.02027027027027027,-33.358108108108105,14.75,106.55823555133509
above_vwap & strong_body & expansion_bar & high_rel_vol & high_volatility,37,0.0026351351351351355,5.27027027027027,0.35135135135135137,0.35135135135135137,0.40540540540540543,0.2702702702702703,-14.932432432432432,0.02027027027027027,-33.358108108108105,14.75,106.55823555133509
large_lower_wick & expansion_bar & tight_spread,200,0.001875,28.500000000000004,0.465,0.375,0.38,0.4,0.0275,0.0025,13.59625,7.125,124.5745699819225
above_vwap & displacement & tight_spread,60,-0.0008749999999999999,7.699999999999999,0.38333333333333336,0.35,0.36666666666666664,0.3,-4.325,-0.004166666666666667,-14.120833333333334,1.0,99.67086185382172
above_vwap & back_inside_or & displacement & tight_spread,60,-0.0008749999999999999,7.699999999999999,0.38333333333333336,0.35,0.36666666666666664,0.3,-4.325,-0.004166666666666667,-14.120833333333334,1.0,99.67086185382172
above_vwap & expansion_bar & displacement & tight_spread,60,-0.0008749999999999999,7.699999999999999,0.38333333333333336,0.35,0.36666666666666664,0.3,-4.325,-0.004166666666666667,-14.120833333333334,1.0,99.67086185382172
above_vwap & back_inside_or & expansion_bar & displacement & tight_spread,60,-0.0008749999999999999,7.699999999999999,0.38333333333333336,0.35,0.36666666666666664,0.3,-4.325,-0.004166666666666667,-14.120833333333334,1.0,99.67086185382172
strong_body & expansion_bar & high_rel_vol & high_volatility,81,-0.02854938271604938,16.444444444444443,0.49382716049382713,0.4567901234567901,0.4444444444444444,0.32098765432098764,6.530864197530864,-0.07716049382716049,-29.0,18.25,155.18933819881576
below_vwap & strong_body & expansion_bar & high_rel_vol & high_volatility,44,-0.03818181818181818,11.454545454545453,0.6136363636363636,0.5454545454545454,0.4772727272727273,0.36363636363636365,24.579545454545453,-0.1590909090909091,-25.335227272727273,23.25,187.8848073838488
