model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
PROD_STACK_STRICT,2021-06-17,2021-06-17 11:14:00,LONG,20.0,287.25,0.64
PROD_STACK_STRICT,2021-06-18,2021-06-18 09:38:00,SHORT,20.0,287.25,0.64
PROD_STACK_STRICT,2021-06-21,2021-06-21 09:57:00,LONG,0.0,307.25,0.64
PROD_STACK_STRICT,2021-06-23,2021-06-23 10:50:00,SHORT,-16.75,298.5,0.64
PROD_STACK_STRICT,2021-06-24,2021-06-24 10:14:00,LONG,-20.0,298.5,0.64
PROD_STACK_STRICT,2021-06-25,2021-06-25 11:13:00,SHORT,5.75,284.25,0.64
PROD_STACK_STRICT,2021-06-28,2021-06-28 10:27:00,LONG,-20.0,244.25,0.62
PROD_STACK_STRICT,2021-06-29,2021-06-29 10:39:00,LONG,20.0,244.25,0.62
PROD_STACK_STRICT,2021-06-30,2021-06-30 10:34:00,SHORT,-0.5,263.75,0.62
PROD_STACK_STRICT,2021-07-01,2021-07-01 09:07:00,SHORT,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-02,2021-07-02 09:38:00,LONG,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-06,2021-07-06 10:00:00,SHORT,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-08,2021-07-08 09:40:00,LONG,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-14,2021-07-14 09:28:00,SHORT,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-15,2021-07-15 10:10:00,SHORT,20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-16,2021-07-16 09:18:00,SHORT,20.0,334.5,0.66
PROD_STACK_STRICT,2021-07-19,2021-07-19 10:01:00,LONG,-20.0,334.5,0.66
PROD_STACK_STRICT,2021-07-21,2021-07-21 09:01:00,LONG,-20.0,334.5,0.66
PROD_STACK_STRICT,2021-07-26,2021-07-26 10:01:00,LONG,-20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-29,2021-07-29 09:07:00,LONG,-20.0,294.5,0.64
PROD_STACK_STRICT,2021-07-30,2021-07-30 10:47:00,LONG,20.0,294.5,0.64
PROD_STACK_STRICT,2021-08-02,2021-08-02 10:01:00,SHORT,20.0,294.5,0.64
PROD_STACK_STRICT,2021-08-04,2021-08-04 10:02:00,LONG,20.0,294.5,0.64
PROD_STACK_STRICT,2021-08-05,2021-08-05 09:01:00,LONG,-12.75,301.75,0.64
PROD_STACK_STRICT,2021-08-06,2021-08-06 09:11:00,SHORT,-20.0,261.75,0.62
PROD_STACK_STRICT,2021-08-11,2021-08-11 10:03:00,SHORT,20.0,261.75,0.62
PROD_STACK_STRICT,2021-08-12,2021-08-12 09:32:00,LONG,-20.0,221.75,0.6
PROD_STACK_STRICT,2021-08-18,2021-08-18 09:34:00,SHORT,20.0,261.75,0.62
PROD_STACK_STRICT,2021-08-19,2021-08-19 09:10:00,LONG,20.0,261.75,0.62
PROD_STACK_STRICT,2021-08-23,2021-08-23 09:16:00,LONG,20.0,301.75,0.64
PROD_STACK_STRICT,2021-08-24,2021-08-24 09:27:00,SHORT,20.0,301.75,0.64
PROD_STACK_STRICT,2021-08-25,2021-08-25 10:57:00,LONG,-20.0,281.5,0.62
PROD_STACK_STRICT,2021-08-26,2021-08-26 09:02:00,SHORT,-20.0,241.5,0.6
PROD_STACK_STRICT,2021-08-27,2021-08-27 11:03:00,LONG,14.25,235.75,0.6
PROD_STACK_STRICT,2021-09-02,2021-09-02 09:09:00,SHORT,-20.0,235.75,0.6
PROD_STACK_STRICT,2021-09-03,2021-09-03 09:49:00,LONG,20.0,235.75,0.6
PROD_STACK_STRICT,2021-09-10,2021-09-10 09:32:00,SHORT,20.0,275.75,0.62
PROD_STACK_STRICT,2021-09-14,2021-09-14 10:30:00,LONG,-20.0,235.75,0.6
PROD_STACK_STRICT,2021-09-15,2021-09-15 10:25:00,LONG,20.0,275.75,0.62
PROD_STACK_STRICT,2021-09-16,2021-09-16 10:24:00,LONG,20.0,296.5,0.64
PROD_STACK_STRICT,2021-09-17,2021-09-17 09:29:00,SHORT,20.0,296.5,0.64
PROD_STACK_STRICT,2021-09-20,2021-09-20 09:49:00,SHORT,20.0,296.5,0.64
PROD_STACK_STRICT,2021-09-24,2021-09-24 09:53:00,LONG,20.0,311.25,0.64
PROD_STACK_STRICT,2021-09-27,2021-09-27 09:07:00,LONG,-20.0,271.25,0.62
PROD_STACK_STRICT,2021-09-28,2021-09-28 09:34:00,SHORT,20.0,311.25,0.64
PROD_STACK_STRICT,2021-10-12,2021-10-12 09:09:00,LONG,-20.0,288.5,0.62
PROD_STACK_STRICT,2021-10-19,2021-10-19 10:36:00,LONG,20.0,310.0,0.64
PROD_STACK_STRICT,2021-10-20,2021-10-20 09:08:00,SHORT,20.0,310.0,0.64
PROD_STACK_STRICT,2021-10-28,2021-10-28 10:28:00,LONG,-20.0,270.0,0.62
PROD_STACK_STRICT,2021-11-01,2021-11-01 11:25:00,LONG,2.5,252.5,0.62
PROD_STACK_STRICT,2021-11-02,2021-11-02 09:47:00,LONG,-20.0,212.5,0.6
PROD_STACK_STRICT,2021-11-03,2021-11-03 10:21:00,LONG,15.25,207.75,0.6
PROD_STACK_STRICT,2021-11-11,2021-11-11 09:22:00,SHORT,-20.0,187.75,0.6
PROD_STACK_STRICT,2021-11-15,2021-11-15 10:16:00,SHORT,20.0,224.5,0.62
PROD_STACK_STRICT,2021-11-17,2021-11-17 09:57:00,LONG,20.0,264.5,0.64
PROD_STACK_STRICT,2021-11-18,2021-11-18 09:11:00,SHORT,20.0,278.75,0.64
PROD_STACK_STRICT,2021-12-13,2021-12-13 09:22:00,SHORT,20.0,318.75,0.66
PROD_STACK_STRICT,2021-12-28,2021-12-28 10:25:00,SHORT,20.0,318.75,0.66
PROD_STACK_STRICT,2021-12-31,2021-12-31 09:06:00,SHORT,-20.0,299.25,0.66
PROD_STACK_STRICT,2022-02-08,2022-02-08 09:48:00,LONG,20.0,299.25,0.66
PROD_STACK_STRICT,2022-02-09,2022-02-09 10:01:00,LONG,-20.0,259.25,0.64
PROD_STACK_STRICT,2022-02-15,2022-02-15 11:05:00,LONG,-20.0,219.25,0.62
PROD_STACK_STRICT,2022-02-21,2022-02-21 10:19:00,SHORT,20.0,219.25,0.62
PROD_STACK_STRICT,2022-03-18,2022-03-18 09:16:00,LONG,20.0,219.25,0.62
PROD_STACK_STRICT,2022-03-23,2022-03-23 10:10:00,LONG,-20.0,179.25,0.6
PROD_STACK_STRICT,2022-03-25,2022-03-25 09:04:00,SHORT,20.0,179.25,0.6
PROD_STACK_STRICT,2022-03-30,2022-03-30 10:15:00,SHORT,-20.0,179.25,0.6
PROD_STACK_STRICT,2022-03-31,2022-03-31 10:45:00,SHORT,20.0,219.25,0.62
PROD_STACK_STRICT,2022-04-05,2022-04-05 09:37:00,SHORT,20.0,259.25,0.64
PROD_STACK_STRICT,2022-04-06,2022-04-06 10:55:00,SHORT,20.0,299.25,0.66
PROD_STACK_STRICT,2022-04-13,2022-04-13 09:04:00,LONG,20.0,299.25,0.66
PROD_STACK_STRICT,2022-04-14,2022-04-14 10:14:00,SHORT,20.0,299.25,0.66
PROD_STACK_STRICT,2022-04-19,2022-04-19 09:23:00,LONG,20.0,299.25,0.66
PROD_STACK_STRICT,2022-04-26,2022-04-26 09:45:00,SHORT,20.0,332.0,0.68
PROD_STACK_STRICT,2022-04-28,2022-04-28 09:45:00,LONG,20.0,372.0,0.7
PROD_STACK_STRICT,2022-05-04,2022-05-04 09:42:00,SHORT,-20.0,332.0,0.68
PROD_STACK_STRICT,2022-05-09,2022-05-09 09:35:00,SHORT,20.0,372.0,0.7
PROD_STACK_STRICT,2022-05-18,2022-05-18 09:08:00,SHORT,20.0,372.0,0.7
