direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
,1204,51.58,41.11,33.89,0.032,0.028,0.017,1.065,1.047,1.025,19.58,38.41,-19.75,19.3,-17.66,-32.0,-48.0,-61.0,vwap_dist_bucket,,,,,,,far_above,,,,,
,927,50.38,39.48,32.25,0.008,-0.013,-0.032,1.015,0.979,0.952,7.09,13.1,-7.36,6.52,-7.19,-32.0,-41.0,-58.0,orb_range_bucket,,,,<=20,,,,,,,,
short,209,42.58,33.97,27.75,-0.148,-0.151,-0.167,0.742,0.772,0.768,19.22,34.93,-19.35,12.75,-16.25,-32.0,-34.0,-41.0,direction_fib_rel_vol,0.5,,,,,high,,,,,,
short,374,48.66,39.57,30.75,-0.027,-0.011,-0.078,0.948,0.982,0.888,22.72,37.31,-20.77,23.17,-18.69,-33.0,-33.0,-53.0,direction_fib_vwap,0.382,,,,,,,,true,,,
short,156,40.38,34.62,25.64,-0.192,-0.135,-0.231,0.677,0.794,0.69,20.81,29.39,-19.89,14.2,-18.09,-33.0,-30.0,-42.0,direction_fib_vwap_dist,0.382,,,,,,below,,,,,
,746,48.93,36.46,27.48,-0.021,-0.088,-0.176,0.958,0.861,0.758,34.53,51.47,-32.65,32.95,-35.62,-34.0,-72.5,-134.0,risk_bucket,,,30-40,,,,,,,,,
,361,47.92,36.01,27.15,-0.042,-0.1,-0.186,0.92,0.844,0.745,18.54,27.63,-17.41,12.38,-14.69,-34.0,-48.0,-71.0,hour,,10,,,,,,,,,,
long,245,43.67,39.18,32.24,-0.127,-0.02,-0.033,0.775,0.966,0.952,16.48,29.81,-18.58,12.07,-16.02,-34.0,-17.0,-21.0,direction_fib_rel_vol,0.618,,,,,high,,,,,,
short,141,41.84,35.46,32.62,-0.163,-0.113,-0.021,0.72,0.824,0.968,19.13,34.77,-18.92,17.0,-15.88,-34.0,-32.5,-27.0,direction_fib_vwap_dist,0.5,,,,,,below,,,,,
,1583,49.97,40.49,31.96,-0.001,0.012,-0.041,0.999,1.021,0.94,19.36,33.79,-19.24,17.0,-16.62,-35.0,-51.0,-105.0,fib,0.5,,,,,,,,,,,
,653,47.93,37.83,28.79,-0.041,-0.054,-0.136,0.921,0.913,0.809,32.36,52.4,-31.96,29.5,-33.62,-37.0,-50.5,-100.0,orb_range_bucket,,,,>60,,,,,,,,
short,379,49.6,40.11,32.72,-0.008,0.003,-0.018,0.984,1.004,0.973,20.38,39.22,-19.39,19.38,-16.75,-38.0,-38.5,-45.0,direction_fib_liq,0.5,,,,,,,2+,,,,
short,411,49.64,39.17,29.93,-0.007,-0.021,-0.102,0.986,0.966,0.854,21.51,35.74,-19.89,20.78,-18.13,-39.0,-44.5,-55.0,direction_fib_rel_vol,0.382,,,,,normal,,,,,,
short,493,48.48,39.35,32.25,-0.03,-0.016,-0.032,0.941,0.973,0.952,15.27,31.34,-16.01,11.35,-13.43,-39.0,-36.5,-48.0,direction_fib_vwap,0.618,,,,,,,,false,,,
,2159,51.32,39.93,31.68,0.026,-0.002,-0.05,1.054,0.997,0.927,20.26,35.61,-20.05,18.71,-17.84,-40.0,-96.0,-196.0,liq_sweep_bucket,,,,,,,,2+,,,,
