signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2025-12-17T08:36:00.000000,2025-12-17T08:37:00.000000,2025-12-17,2025,2025-12,8,37,short,25368.5,25382.75,25340.0,14.25,28.5,2.0,target,1,1,30.25,-0.0,25380.75,25331.75,25347.0,2.7034,3.2974
2026-01-02T08:35:00.000000,2026-01-02T08:36:00.000000,2026-01-02,2026,2026-01,8,36,short,25676.19,25686.0,25656.56,9.81,-9.81,-1.0,stop_same_bar,1,1,25.44,-22.31,25684.0,25652.75,25655.5,1.8464,1.7178
2026-01-08T08:31:00.000000,2026-01-08T08:32:00.000000,2026-01-08,2026,2026-01,8,32,short,25752.81,25761.0,25736.44,8.19,-8.19,-1.0,stop_same_bar,1,1,23.31,-12.69,25759.0,25734.25,25741.0,2.346,5.8373
2026-01-08T08:38:00.000000,2026-01-08T08:39:00.000000,2026-01-08,2026,2026-01,8,39,short,25706.19,25717.5,25683.56,11.31,22.62,2.0,target,1,1,29.94,-1.81,25715.5,25678.25,25688.5,1.8766,1.6635
2026-01-15T09:46:00.000000,2026-01-15T09:47:00.000000,2026-01-15,2026,2026-01,9,47,short,25844.88,25855.5,25823.62,10.62,21.25,2.0,target,2,1,28.38,-5.12,25853.5,25819.0,25827.25,1.6737,2.3063
2026-01-22T09:17:00.000000,2026-01-22T09:18:00.000000,2026-01-22,2026,2026-01,9,18,short,25566.88,25578.75,25543.12,11.88,23.75,2.0,target,1,1,25.88,-2.62,25576.75,25537.25,25543.0,1.5879,1.56
2026-02-10T09:56:00.000000,2026-02-10T09:57:00.000000,2026-02-10,2026,2026-02,9,57,short,25369.0,25378.0,25351.0,9.0,-9.0,-1.0,stop,1,1,17.5,-10.0,25376.0,25348.0,25353.25,1.6544,2.174
2026-02-10T10:09:00.000000,2026-02-10T10:10:00.000000,2026-02-10,2026,2026-02,10,10,short,25374.12,25384.0,25354.38,9.88,19.75,2.0,target,1,1,23.12,-4.38,25382.0,25350.5,25350.75,1.7213,1.419
2026-02-10T10:22:00.000000,2026-02-10T10:23:00.000000,2026-02-10,2026,2026-02,10,23,short,25358.06,25369.0,25336.19,10.94,21.88,2.0,target,1,1,24.31,-5.94,25367.0,25331.25,25336.75,2.0056,2.0887
2026-02-18T08:34:00.000000,2026-02-18T08:35:00.000000,2026-02-18,2026,2026-02,8,35,short,24799.31,24812.5,24772.94,13.19,26.38,2.0,target,1,1,43.56,-6.94,24810.5,24765.75,24767.75,2.1034,1.6544
2026-02-26T08:45:00.000000,2026-02-26T08:46:00.000000,2026-02-26,2026,2026-02,8,46,short,25253.19,25268.0,25223.56,14.81,29.62,2.0,target,3,1,39.94,-11.06,25266.0,25214.75,25230.25,1.5333,1.2817
2026-03-16T08:47:00.000000,2026-03-16T08:48:00.000000,2026-03-16,2026,2026-03,8,48,short,24658.12,24669.5,24635.38,11.38,22.75,2.0,target,1,1,25.62,-4.12,24667.5,24630.0,24632.5,1.694,1.1219
2026-03-18T10:35:00.000000,2026-03-18T10:36:00.000000,2026-03-18,2026,2026-03,10,36,short,24848.75,24856.75,24832.75,8.0,16.0,2.0,target,1,1,16.75,-1.0,24854.75,24830.75,24831.5,1.8551,2.22
2026-05-04T09:21:00.000000,2026-05-04T09:22:00.000000,2026-05-04,2026,2026-05,9,22,short,27757.31,27773.0,27725.94,15.69,31.38,2.0,target,1,1,45.81,-7.19,27771.0,27716.25,27723.25,2.4607,3.0073
